Date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
02:00:00 04-10-2023,2,774.38,10.73,21.59,0.08,22.89,22.93,29.12,6.02
03:00:00 04-10-2023,2,734.33,10.62,21.25,0.09,23.84,21.9,27.91,6.14
04:00:00 04-10-2023,2,734.33,12.29,21.08,0.05,26.46,22.3,28.37,6.46
05:00:00 04-10-2023,2,747.68,15.65,21.25,0.02,31.47,23.67,29.98,6.84
06:00:00 04-10-2023,2,761.03,16.54,20.56,0.02,31.95,23.92,30.29,7.03
07:00:00 04-10-2023,2,834.47,16.76,19.88,0.55,31.47,24.84,31.76,7.66
08:00:00 04-10-2023,3,934.6,18.78,20.91,1.32,34.81,25.4,32.25,7.54
09:00:00 04-10-2023,2,934.6,18.33,22.62,1.54,36.72,24.3,30.69,7.16
10:00:00 04-10-2023,2,841.14,13.63,24.33,1.9,34.81,21.68,27.31,6.71
11:00:00 04-10-2023,2,640.87,6.98,19.54,15.74,25.03,14.26,18.05,5.0
12:00:00 04-10-2023,2,580.79,6.54,17.65,28.61,24.8,12.35,15.62,4.81
13:00:00 04-10-2023,2,587.46,6.59,18.16,43.27,26.7,14.14,17.59,5.26
14:00:00 04-10-2023,2,587.46,4.47,18.51,60.08,25.51,16.41,19.84,5.32
15:00:00 04-10-2023,2,600.81,2.46,19.88,65.09,23.6,18.11,21.27,5.26
16:00:00 04-10-2023,2,634.19,0.85,21.08,63.66,21.46,20.39,23.35,5.13
17:00:00 04-10-2023,3,1161.58,0.89,38.73,33.26,26.23,32.89,38.91,8.99
18:00:00 04-10-2023,4,1949.31,7.49,52.78,3.49,32.9,54.36,65.61,12.03
19:00:00 04-10-2023,5,2616.88,24.81,49.35,0.02,40.53,82.13,99.91,14.69
20:00:00 04-10-2023,5,3364.56,42.02,49.35,0.0,50.07,120.31,146.71,17.99
21:00:00 04-10-2023,5,3391.27,46.49,45.93,0.0,50.07,134.19,164.11,16.97
22:00:00 04-10-2023,5,2750.4,38.0,41.47,0.0,43.39,114.74,142.6,14.57
23:00:00 04-10-2023,5,2029.42,25.93,37.7,0.0,35.29,83.2,105.98,11.78
00:00:00 05-10-2023,4,1642.23,21.9,34.62,0.0,30.99,65.47,84.1,9.63
01:00:00 05-10-2023,4,1441.96,21.01,31.53,0.0,30.28,57.61,73.47,8.74
02:00:00 05-10-2023,4,1308.44,19.89,28.45,0.0,28.13,54.01,67.2,8.61
03:00:00 05-10-2023,4,1321.79,21.23,25.7,0.0,26.7,56.0,68.49,9.37
04:00:00 05-10-2023,4,1401.9,25.03,23.99,0.0,28.61,60.85,73.36,10.51
05:00:00 05-10-2023,4,1508.71,32.19,22.96,0.0,33.86,67.14,80.27,11.4
06:00:00 05-10-2023,4,1562.12,37.1,21.59,0.0,38.15,68.71,82.85,11.53
07:00:00 05-10-2023,4,1642.23,40.23,21.76,1.01,46.25,67.13,83.3,12.54
08:00:00 05-10-2023,3,1388.55,37.1,28.45,4.38,59.13,49.41,61.82,10.39
09:00:00 05-10-2023,3,1348.5,30.4,34.96,11.98,60.08,46.37,57.93,10.13
10:00:00 05-10-2023,3,1121.52,15.2,37.7,35.76,51.02,42.5,52.08,8.99
11:00:00 05-10-2023,3,774.38,4.47,25.36,69.38,31.95,32.24,38.2,6.4
12:00:00 05-10-2023,3,694.27,2.29,24.33,72.24,29.33,28.62,33.17,5.95
13:00:00 05-10-2023,3,720.98,0.96,28.79,60.08,31.47,27.99,32.22,6.46
14:00:00 05-10-2023,3,761.03,0.02,32.22,41.48,32.9,27.85,31.86,6.71
15:00:00 05-10-2023,3,847.82,0.16,36.67,26.11,35.76,30.59,34.72,6.97
16:00:00 05-10-2023,3,961.3,0.47,39.41,17.88,35.76,34.99,39.12,6.59
17:00:00 05-10-2023,3,1214.98,2.91,49.35,6.79,42.92,45.13,50.5,7.54
18:00:00 05-10-2023,4,1548.77,12.52,50.72,0.28,51.02,57.37,65.24,8.99
19:00:00 05-10-2023,4,1762.39,21.9,47.3,0.01,55.31,68.5,79.17,10.64
20:00:00 05-10-2023,5,2590.18,40.23,47.3,0.0,61.99,103.47,123.7,16.21
21:00:00 05-10-2023,5,3471.37,58.11,44.55,0.0,61.99,147.82,180.65,20.01
22:00:00 05-10-2023,5,3791.81,63.48,41.13,0.0,56.74,171.36,211.17,20.52
23:00:00 05-10-2023,5,3631.59,59.9,38.04,0.0,47.21,165.36,200.98,19.0
00:00:00 06-10-2023,5,3417.97,59.9,36.33,0.0,41.96,153.58,184.07,16.47
01:00:00 06-10-2023,5,3417.97,64.37,35.3,0.0,43.87,154.18,181.86,17.23
02:00:00 06-10-2023,5,3284.45,67.06,33.24,0.0,44.35,154.73,180.08,17.48
03:00:00 06-10-2023,5,3177.64,70.63,30.16,0.0,44.35,157.72,180.97,18.75
04:00:00 06-10-2023,5,3231.05,77.78,27.76,0.0,46.73,168.9,191.68,21.53
05:00:00 06-10-2023,5,3311.16,86.72,27.08,0.0,51.5,179.21,201.77,22.55
06:00:00 06-10-2023,5,3284.45,88.51,23.99,0.0,50.07,177.07,199.4,19.76
07:00:00 06-10-2023,5,3150.94,79.57,22.28,0.16,51.5,156.47,180.46,18.49
08:00:00 06-10-2023,5,1815.8,54.54,27.42,0.19,66.76,78.1,92.2,11.53
09:00:00 06-10-2023,4,1575.47,44.26,26.73,0.66,60.56,58.38,70.16,10.39
10:00:00 06-10-2023,3,1214.98,25.93,27.42,2.77,47.21,41.04,49.87,8.99
11:00:00 06-10-2023,2,727.65,4.69,23.31,23.25,24.8,20.4,24.67,5.13
12:00:00 06-10-2023,2,620.84,1.49,22.62,31.83,22.89,15.01,18.18,4.56
13:00:00 06-10-2023,2,627.52,0.64,25.02,31.83,24.8,14.33,17.36,4.75
14:00:00 06-10-2023,2,680.92,0.23,29.82,25.03,29.56,16.13,19.37,5.26
15:00:00 06-10-2023,2,767.71,0.43,35.3,16.09,34.81,20.03,23.6,5.76
16:00:00 06-10-2023,2,854.49,0.68,37.36,11.98,35.76,23.78,27.45,5.7
17:00:00 06-10-2023,3,1108.17,5.81,44.55,3.31,44.82,31.34,36.28,6.84
18:00:00 06-10-2023,3,1535.42,23.47,45.24,0.04,61.04,44.63,52.35,9.12
19:00:00 06-10-2023,4,2002.72,45.6,46.61,0.0,82.02,64.87,76.31,12.29
20:00:00 06-10-2023,5,5020.14,118.02,52.78,0.0,100.14,189.0,221.63,26.09
21:00:00 06-10-2023,5,8865.36,200.27,54.84,0.0,104.9,370.97,427.83,36.48
22:00:00 06-10-2023,5,11322.02,253.92,54.15,0.0,110.63,518.0,585.1,46.1
23:00:00 06-10-2023,5,12924.19,293.25,53.47,0.0,117.3,627.79,690.23,57.25
00:00:00 07-10-2023,5,13458.25,314.71,52.78,0.0,112.53,663.39,714.66,57.25
01:00:00 07-10-2023,5,12390.14,300.41,50.04,0.0,99.18,620.95,658.25,53.7
02:00:00 07-10-2023,5,10787.96,268.22,45.24,0.0,82.97,556.27,583.09,50.16
03:00:00 07-10-2023,5,9826.66,253.92,39.41,0.0,68.66,531.21,554.06,43.06
04:00:00 07-10-2023,5,9292.6,250.34,35.3,0.0,58.17,527.72,548.47,35.97
05:00:00 07-10-2023,5,8758.54,243.19,31.87,0.0,51.02,506.3,526.13,28.63
06:00:00 07-10-2023,5,8651.73,246.76,26.73,0.0,41.48,510.74,530.59,20.27
07:00:00 07-10-2023,5,8865.36,250.34,21.93,0.0,39.1,523.24,546.15,17.73
08:00:00 07-10-2023,5,3177.64,80.47,31.19,0.09,47.68,166.69,180.98,9.63
09:00:00 07-10-2023,5,2136.23,48.28,30.16,0.19,48.16,95.16,107.6,9.5
10:00:00 07-10-2023,4,1575.47,35.32,29.82,0.3,48.64,62.83,72.75,8.87
11:00:00 07-10-2023,3,867.84,11.29,26.73,9.83,31.47,26.29,31.18,5.38
12:00:00 07-10-2023,2,674.25,6.76,22.28,29.33,28.13,17.32,20.79,4.88
13:00:00 07-10-2023,2,660.9,5.25,21.76,57.22,29.56,19.02,22.32,5.07
14:00:00 07-10-2023,3,794.41,4.92,27.76,73.67,34.81,27.97,32.38,6.97
15:00:00 07-10-2023,3,934.6,5.2,35.64,50.07,36.72,31.9,37.14,7.6
16:00:00 07-10-2023,3,1001.36,4.25,39.07,19.49,31.47,29.47,34.27,6.08
17:00:00 07-10-2023,3,1161.58,7.71,39.76,1.97,30.28,29.83,34.66,5.83
18:00:00 07-10-2023,3,1455.31,20.56,36.67,0.04,37.67,37.13,43.4,7.16
19:00:00 07-10-2023,4,1789.09,34.42,36.67,0.0,50.54,51.54,60.77,10.01
20:00:00 07-10-2023,5,2456.67,55.43,42.84,0.0,71.53,84.15,99.09,15.96
21:00:00 07-10-2023,5,3150.94,76.89,46.61,0.0,86.78,123.44,145.38,21.53
22:00:00 07-10-2023,5,3631.59,92.98,47.3,0.0,93.46,157.43,185.66,25.59
23:00:00 07-10-2023,5,4058.84,107.29,43.87,0.0,88.69,189.17,223.69,28.88
00:00:00 08-10-2023,5,4753.11,130.53,41.81,0.0,82.97,228.12,265.9,30.15
01:00:00 08-10-2023,5,5233.76,151.99,44.55,0.0,82.97,266.36,300.41,32.17
02:00:00 08-10-2023,5,5554.2,164.51,45.24,0.0,74.39,297.81,330.47,35.97
03:00:00 08-10-2023,5,5767.82,171.66,43.87,0.0,62.94,327.26,357.12,38.5
04:00:00 08-10-2023,5,5981.45,177.03,43.87,0.0,57.7,354.8,380.46,38.0
05:00:00 08-10-2023,5,6141.66,180.6,47.3,0.0,57.7,379.02,402.82,36.98
06:00:00 08-10-2023,5,6248.47,184.18,44.55,0.0,52.45,397.58,422.09,29.64
07:00:00 08-10-2023,5,6729.13,191.33,39.41,0.28,54.36,424.98,455.77,25.08
08:00:00 08-10-2023,5,2857.21,93.88,49.35,1.65,81.06,186.43,204.49,9.88
09:00:00 08-10-2023,5,2510.07,80.47,50.04,2.66,85.83,142.62,160.71,11.91
10:00:00 08-10-2023,5,2002.72,56.33,52.09,4.74,77.25,102.85,119.32,11.53
11:00:00 08-10-2023,3,1094.82,18.33,42.5,10.01,45.78,46.2,55.65,7.28
12:00:00 08-10-2023,3,827.79,8.49,36.67,12.52,35.76,28.32,35.46,6.46
13:00:00 08-10-2023,2,741.0,4.81,34.96,15.02,32.9,22.44,28.69,6.52
14:00:00 08-10-2023,2,694.27,1.56,32.56,18.06,28.61,19.49,24.44,6.27
15:00:00 08-10-2023,2,707.63,0.74,32.9,19.67,28.61,20.55,24.32,6.52
16:00:00 08-10-2023,2,694.27,0.18,30.16,21.64,25.27,20.17,23.0,6.02
17:00:00 08-10-2023,2,767.71,0.27,32.9,17.17,25.51,21.12,23.93,5.57
18:00:00 08-10-2023,3,934.6,1.59,38.39,6.62,28.37,26.12,29.8,5.76
19:00:00 08-10-2023,3,1041.41,5.2,37.36,1.27,29.56,32.38,37.4,6.4
20:00:00 08-10-2023,3,1335.14,13.75,34.27,0.08,31.95,47.26,56.48,9.5
21:00:00 08-10-2023,4,1668.93,21.68,31.19,0.01,32.42,64.7,79.5,12.29
22:00:00 08-10-2023,5,1842.5,24.14,28.1,0.0,30.04,75.18,92.9,13.93
23:00:00 08-10-2023,4,1842.5,23.47,25.7,0.0,25.75,74.98,91.07,13.81
00:00:00 09-10-2023,4,1735.69,21.9,24.33,0.0,21.46,67.91,80.84,11.65
01:00:00 09-10-2023,4,1682.28,23.47,23.31,0.0,22.89,66.88,78.54,11.27
02:00:00 09-10-2023,4,1602.17,23.02,21.93,0.0,22.65,66.26,77.33,11.27
03:00:00 09-10-2023,4,1548.77,23.47,20.91,0.0,23.84,66.07,76.79,10.77
04:00:00 09-10-2023,4,1535.42,27.05,20.56,0.0,27.18,67.79,78.52,10.39
05:00:00 09-10-2023,4,1508.71,30.85,20.39,0.0,30.99,67.35,78.08,9.88
06:00:00 09-10-2023,4,1455.31,33.53,19.19,0.0,34.33,62.73,73.92,10.01
07:00:00 09-10-2023,4,1588.82,39.79,18.85,0.31,42.44,63.25,77.82,12.29
08:00:00 09-10-2023,4,1495.36,41.13,25.7,1.61,57.7,52.77,66.17,11.15
09:00:00 09-10-2023,3,1415.25,29.5,38.04,11.09,58.65,47.38,60.55,10.64
10:00:00 09-10-2023,3,1148.22,11.62,43.18,57.94,49.59,43.3,55.3,9.63
11:00:00 09-10-2023,2,694.27,3.05,19.36,88.69,24.08,24.53,30.19,5.0
12:00:00 09-10-2023,2,560.76,1.84,14.91,70.81,18.36,15.62,19.24,4.05
13:00:00 09-10-2023,2,520.71,1.02,15.08,50.07,15.97,10.62,13.65,3.77
14:00:00 09-10-2023,1,500.68,0.76,14.57,36.84,14.31,8.12,10.98,3.74
15:00:00 09-10-2023,1,534.06,1.06,17.65,28.97,16.93,8.5,11.65,4.31
16:00:00 09-10-2023,1,574.11,1.44,20.56,22.17,19.55,9.05,12.55,4.81
17:00:00 09-10-2023,2,1148.22,9.83,31.53,4.96,28.13,20.34,28.49,10.39
18:00:00 09-10-2023,3,2002.72,31.74,28.45,0.06,34.33,38.5,54.1,15.45
19:00:00 09-10-2023,4,2536.77,44.26,26.05,0.0,37.67,57.77,80.59,16.72
20:00:00 09-10-2023,5,3204.35,59.01,26.73,0.0,45.78,90.74,122.88,18.75
21:00:00 09-10-2023,5,3898.62,75.1,27.08,0.0,50.54,129.82,171.26,19.51
22:00:00 09-10-2023,5,4379.27,86.72,26.05,0.0,50.54,167.36,214.86,19.51
23:00:00 09-10-2023,5,4325.87,88.51,22.96,0.0,43.39,175.32,218.16,16.97
00:00:00 10-10-2023,5,3952.03,85.83,20.56,0.0,37.19,161.25,194.32,13.3
01:00:00 10-10-2023,5,3685.0,86.72,19.54,0.0,37.67,154.1,181.34,12.29
02:00:00 10-10-2023,5,2349.85,59.01,20.91,0.0,41.48,95.48,110.03,9.75
03:00:00 10-10-2023,4,1762.39,45.6,21.76,0.0,42.44,70.07,79.73,8.99
04:00:00 10-10-2023,4,1522.06,40.68,23.99,0.0,44.82,61.05,69.09,8.61
05:00:00 10-10-2023,4,1428.6,38.89,28.45,0.0,51.5,59.0,66.57,8.49
06:00:00 10-10-2023,4,1455.31,38.44,32.56,0.0,57.7,60.86,69.13,8.61
07:00:00 10-10-2023,4,1682.28,42.92,34.62,0.05,64.85,69.74,81.03,10.51
08:00:00 10-10-2023,4,1762.39,44.26,34.96,0.25,68.66,64.26,74.98,9.88
09:00:00 10-10-2023,4,1842.5,54.09,37.01,0.15,81.06,62.8,73.4,10.01
10:00:00 10-10-2023,4,1869.2,64.37,39.76,0.05,99.18,67.04,77.98,11.27
11:00:00 10-10-2023,4,1548.77,52.75,37.7,0.48,90.6,55.03,63.77,9.37
12:00:00 10-10-2023,4,1508.71,54.54,41.47,0.01,97.27,53.76,62.03,9.25
13:00:00 10-10-2023,4,1628.88,56.77,53.47,0.0,103.95,60.58,69.9,8.87
14:00:00 10-10-2023,4,1642.23,50.07,66.49,0.0,99.18,63.26,73.05,7.85
15:00:00 10-10-2023,4,1548.77,36.21,79.51,0.0,87.74,61.37,71.27,7.22
16:00:00 10-10-2023,3,1295.09,14.75,80.2,0.22,65.8,47.29,55.9,6.52
17:00:00 10-10-2023,3,1335.14,11.73,68.55,0.54,58.17,37.55,46.64,7.92
18:00:00 10-10-2023,3,1735.69,25.93,60.32,0.05,67.71,43.01,54.78,10.13
19:00:00 10-10-2023,4,2082.82,43.36,54.84,0.0,80.11,56.64,71.56,12.03
20:00:00 10-10-2023,5,3578.19,78.68,50.72,0.0,85.83,113.04,143.33,21.03
21:00:00 10-10-2023,5,5287.17,113.55,45.93,0.0,81.06,188.9,241.07,28.37
22:00:00 10-10-2023,5,6195.07,130.53,40.78,0.0,74.39,243.13,312.08,30.91
23:00:00 10-10-2023,5,6248.47,130.53,35.64,0.0,63.9,256.28,328.03,25.33
00:00:00 11-10-2023,5,5500.79,116.23,31.19,0.0,49.59,221.16,280.81,15.96
01:00:00 11-10-2023,5,4219.06,88.51,28.1,0.0,41.01,167.04,209.46,11.02
02:00:00 11-10-2023,4,1869.2,38.0,28.45,0.0,41.48,69.74,84.34,7.35
03:00:00 11-10-2023,4,1415.25,28.16,28.79,0.0,40.53,54.46,62.88,7.09
04:00:00 11-10-2023,4,1348.5,28.16,30.16,0.0,42.44,54.98,61.77,7.35
05:00:00 11-10-2023,4,1348.5,32.63,31.53,0.0,49.59,58.33,64.67,7.54
06:00:00 11-10-2023,4,1361.85,36.21,32.22,0.0,55.31,62.06,68.52,7.6
07:00:00 11-10-2023,4,1441.96,36.66,32.56,0.01,57.7,65.96,73.48,8.49
08:00:00 11-10-2023,4,1562.12,38.44,35.99,1.45,66.76,66.05,74.86,9.12
09:00:00 11-10-2023,5,1815.8,48.73,49.35,7.6,91.55,76.17,87.19,11.02
10:00:00 11-10-2023,5,2136.23,47.83,82.25,27.18,120.16,104.53,117.64,12.67
11:00:00 11-10-2023,5,1922.61,21.01,89.11,81.54,103.0,115.07,125.85,8.87
12:00:00 11-10-2023,5,1735.69,8.05,76.09,133.04,89.65,128.64,137.66,6.97
13:00:00 11-10-2023,5,1762.39,3.69,69.92,171.66,90.6,149.98,158.76,6.52
14:00:00 11-10-2023,5,2483.37,3.1,89.11,145.91,98.23,199.65,213.31,11.15
15:00:00 11-10-2023,5,4058.84,3.41,131.61,89.41,123.98,292.78,314.24,16.21
16:00:00 11-10-2023,5,5874.63,2.54,180.96,34.33,167.85,390.31,417.12,19.25
17:00:00 11-10-2023,5,7370.0,14.08,213.86,6.79,196.46,442.63,473.4,22.29
18:00:00 11-10-2023,5,7904.05,29.06,213.86,0.47,175.48,437.71,473.13,21.03
19:00:00 11-10-2023,5,7797.24,34.87,200.15,0.0,143.05,427.44,468.92,20.01
20:00:00 11-10-2023,5,7156.37,32.19,174.11,0.0,110.63,413.65,462.57,20.52
21:00:00 11-10-2023,5,6408.69,31.74,141.2,0.0,87.74,377.2,430.78,20.01
22:00:00 11-10-2023,5,5767.82,38.0,111.04,0.0,75.34,333.11,389.01,19.51
23:00:00 11-10-2023,5,5126.95,47.83,85.68,0.0,66.76,279.04,333.09,17.23
00:00:00 12-10-2023,5,4165.65,50.96,62.38,0.0,54.36,203.35,250.91,13.43
01:00:00 12-10-2023,5,2964.02,43.81,43.87,0.0,42.92,132.35,172.1,10.77
02:00:00 12-10-2023,5,2590.18,46.94,32.22,0.0,34.81,118.51,155.52,11.27
03:00:00 12-10-2023,5,2990.72,65.27,26.39,0.0,35.29,147.7,180.07,14.95
04:00:00 12-10-2023,5,3524.78,84.94,24.33,0.0,42.44,188.09,220.0,22.55
05:00:00 12-10-2023,5,4005.43,100.14,25.7,0.0,51.5,226.92,259.3,32.17
06:00:00 12-10-2023,5,4539.49,118.02,24.68,0.0,53.41,267.82,301.15,31.16
07:00:00 12-10-2023,5,5714.42,146.63,25.36,0.03,65.8,327.36,367.29,28.88
08:00:00 12-10-2023,5,2670.29,102.82,58.26,1.02,150.68,155.34,179.4,14.06
09:00:00 12-10-2023,5,2777.1,102.82,67.17,4.16,165.94,148.55,173.84,15.33
10:00:00 12-10-2023,5,2750.4,89.41,87.05,12.16,167.85,144.34,169.46,16.47
11:00:00 12-10-2023,5,1949.31,33.53,93.22,39.7,119.21,108.66,126.65,10.77
12:00:00 12-10-2023,5,1735.69,14.08,98.71,56.51,108.72,107.55,123.29,9.12
13:00:00 12-10-2023,5,1762.39,5.48,108.3,47.21,111.58,111.66,127.52,8.99
14:00:00 12-10-2023,5,1922.61,3.97,130.24,9.66,125.89,114.31,130.3,10.77
15:00:00 12-10-2023,5,2429.96,27.05,137.09,0.41,156.4,129.98,148.22,13.93
16:00:00 12-10-2023,5,2964.02,51.86,132.98,0.2,181.2,141.03,161.29,15.96
17:00:00 12-10-2023,5,3337.86,69.74,119.27,0.08,177.38,145.07,166.67,15.71
18:00:00 12-10-2023,5,3524.78,76.0,108.3,0.0,154.5,148.65,170.9,14.57
19:00:00 12-10-2023,5,3337.86,71.53,100.08,0.0,127.79,148.33,170.78,13.81
20:00:00 12-10-2023,5,3738.4,72.42,85.0,0.0,93.46,166.51,195.44,16.47
21:00:00 12-10-2023,5,4592.9,84.04,69.92,0.0,74.39,211.46,252.48,21.03
22:00:00 12-10-2023,5,5287.17,97.45,59.63,0.0,68.66,255.0,306.25,25.33
23:00:00 12-10-2023,5,5554.2,108.18,52.09,0.0,62.94,281.11,334.69,26.6
00:00:00 13-10-2023,5,5500.79,116.23,47.3,0.0,52.93,286.17,329.52,21.53
01:00:00 13-10-2023,5,5340.58,119.81,45.24,0.0,46.25,294.2,328.7,18.49
02:00:00 13-10-2023,5,4806.52,103.71,46.61,0.0,38.62,284.09,308.82,15.45
03:00:00 13-10-2023,5,4112.24,78.68,52.78,0.0,34.33,256.64,273.46,12.54
04:00:00 13-10-2023,5,3471.37,59.01,57.58,0.0,33.38,226.89,238.94,10.51
05:00:00 13-10-2023,5,2857.21,47.39,67.17,0.0,44.82,195.13,205.2,7.66
06:00:00 13-10-2023,5,2536.77,41.13,64.43,0.0,45.78,175.22,185.29,7.41
07:00:00 13-10-2023,5,2456.67,37.1,57.58,0.32,45.3,163.82,175.17,8.87
08:00:00 13-10-2023,5,2189.64,34.87,52.78,1.9,54.84,140.23,151.0,7.6
09:00:00 13-10-2023,5,2296.45,44.7,58.95,1.97,77.25,139.83,152.46,10.26
10:00:00 13-10-2023,5,2429.96,56.33,69.23,0.83,103.0,147.14,161.87,13.05
11:00:00 13-10-2023,5,1842.5,27.49,75.4,1.79,83.92,114.58,125.0,8.36
12:00:00 13-10-2023,5,1655.58,21.9,78.83,4.52,83.92,105.35,114.59,6.9
13:00:00 13-10-2023,5,1789.09,26.38,85.0,6.44,95.37,109.57,119.04,7.22
14:00:00 13-10-2023,5,2056.12,33.53,91.85,5.1,106.81,117.92,129.02,9.37
15:00:00 13-10-2023,5,2269.74,38.0,94.59,2.15,108.72,130.92,144.11,11.4
16:00:00 13-10-2023,5,2296.45,26.6,90.48,0.6,89.65,131.99,145.06,10.89
17:00:00 13-10-2023,5,2964.02,29.06,80.88,0.01,66.76,143.63,158.8,12.54
18:00:00 13-10-2023,5,4592.9,64.37,74.71,0.0,67.71,187.59,210.45,18.24
19:00:00 13-10-2023,5,6141.66,101.92,74.71,0.0,86.78,252.31,286.81,28.88
20:00:00 13-10-2023,5,7476.81,130.53,98.71,0.0,122.07,346.21,393.74,45.09
21:00:00 13-10-2023,5,8651.73,150.2,120.64,0.0,141.14,440.01,498.71,52.69
22:00:00 13-10-2023,5,9399.41,169.87,128.87,0.0,146.87,519.97,587.99,55.22
23:00:00 13-10-2023,5,10574.34,202.06,119.27,0.0,137.33,611.01,680.88,56.24
00:00:00 14-10-2023,5,11322.02,228.88,98.71,0.0,109.67,665.38,725.94,49.14
01:00:00 14-10-2023,5,11001.59,232.46,80.2,0.0,81.06,663.97,706.37,39.52
02:00:00 14-10-2023,5,8972.17,187.75,61.01,0.0,51.5,567.78,595.27,32.93
03:00:00 14-10-2023,5,7049.56,144.84,46.61,0.0,34.81,469.81,489.62,24.83
04:00:00 14-10-2023,5,5928.04,119.81,43.18,0.0,30.52,417.08,433.4,17.23
05:00:00 14-10-2023,5,3845.21,73.31,94.59,0.0,53.88,360.76,375.56,1.69
06:00:00 14-10-2023,5,3150.94,57.22,90.48,0.0,52.45,320.69,335.14,2.44
07:00:00 14-10-2023,5,2777.1,43.81,71.97,0.44,48.16,269.99,284.91,5.89
08:00:00 14-10-2023,5,2296.45,35.76,61.69,1.39,56.27,203.78,216.26,4.88
09:00:00 14-10-2023,5,2243.04,36.66,61.69,2.26,65.8,176.59,188.84,7.35
10:00:00 14-10-2023,5,2216.34,33.53,63.75,3.08,70.57,152.66,164.91,10.13
